Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF,Underdog,DraftSharks
295,Marvin Mims Jr.,WR,DEN,264.62,5,293.0,,297.5,239.0,,239.6,254.0
296,Devaughn Vele,WR,NO,264.88,4,,,288.0,249.0,,237.5,285.0
297,Jerome Ford,RB,WAS,265.0,1,,,,265.0,,,
298,Joe Mixon,RB,,265.83,3,,,300.5,288.0,,,209.0
299,Emari Demercado,RB,KC,266.77,4,253.0,,317.6,257.0,,239.5,
300,Michael Mayer,TE,LV,267.5,3,,,276.4,299.0,,227.1,
301,Chris Brooks,RB,GB,268.73,3,256.0,,313.2,237.0,,,
302,Darius Slayton,WR,NYG,268.98,4,280.0,,321.2,235.0,,239.7,
303,Elijah Arroyo,TE,SEA,270.57,3,,,277.2,295.0,,239.5,
304,Anthony Richardson Sr.,QB,IND,272.2,4,,,291.9,358.0,,238.9,200.0
305,Andrei Iosivas,WR,CIN,272.62,4,283.0,,293.6,276.0,,237.9,
306,Cade Klubnik,QB,NYJ,273.77,3,,,283.8,,,237.5,300.0
307,Cole Kmet,TE,CHI,274.63,3,,,282.3,302.0,,239.6,
308,Evan McPherson,K,CIN,275.3,4,269.0,128.0,262.9,,,,294.0
309,Devin Neal,RB,NO,276.83,3,,,332.5,252.0,,,246.0
310,New York Giants,DST,NYG,277.0,2,,,307.0,,,,247.0
311,Dawson Knox,TE,BUF,277.3,3,,,285.5,308.0,,238.4,
312,Seth McGowan,RB,IND,277.9,4,290.0,,309.4,273.0,,239.2,
313,Eli Raridon,TE,NE,278.37,3,,,281.9,315.0,,238.2,
314,Kyle Williams,WR,NE,282.2,3,,,327.6,259.0,,,260.0
315,Cedric Tillman,WR,CLE,283.0,1,,,,283.0,,,
316,Jahan Dotson,WR,ATL,283.27,4,284.0,,319.1,292.0,,238.0,
317,Dallas Cowboys,DST,DAL,283.3,2,,,301.6,,,,265.0
318,Oscar Delp,TE,NO,285.15,2,,,316.3,254.0,,,
319,Nick Westbrook-Ikhine,WR,IND,286.0,2,,,,332.0,,240.0,
320,Garrett Nussmeier,QB,KC,286.4,2,,,335.8,,,,237.0
321,Brashard Smith,RB,KC,286.87,3,,,331.6,263.0,,,266.0
322,Kendre Miller,RB,NO,288.27,4,291.0,,337.1,261.0,,,264.0
323,San Francisco 49ers,DST,SF,288.75,2,,,303.5,,,,274.0
324,Darren Waller,TE,CAR,289.17,3,,,266.3,362.0,,239.2,
325,Kareem Hunt,RB,KC,290.0,1,,,,290.0,,,
326,Brenen Thompson,WR,LAC,290.07,3,,,318.7,312.0,,239.5,
327,Konata Mumpfield,WR,LAR,291.0,1,,,,291.0,,,
328,Justin Joly,TE,DEN,291.47,3,,,319.2,316.0,,239.2,
329,Chicago Bears,DST,CHI,291.5,3,295.0,,306.5,,,,273.0
330,Jalen Milroe,QB,SEA,292.5,2,,,330.0,,,,255.0
331,Ja'Tavion Sanders,TE,CAR,292.97,3,,,339.7,301.0,,238.2,
332,Max Klare,TE,LAR,293.67,3,,,295.0,294.0,,,292.0
333,KaVontae Turpin,WR,DAL,293.7,3,,,311.6,330.0,,239.5,
334,Mitchell Evans,TE,CAR,296.95,2,,,,354.0,,239.9,
335,Charlie Kolar,TE,LAC,297.27,3,,,314.9,349.0,,227.9,
336,Joe Flacco,QB,CIN,300.35,4,261.0,,311.3,391.0,,238.1,
337,Zavion Thomas,WR,CHI,301.83,3,,,326.3,340.0,,239.2,
338,Jarquez Hunter,RB,LAR,302.57,3,,,341.7,277.0,,,289.0
339,Audric Estime,RB,NO,302.6,3,,,343.8,281.0,,,283.0
340,Will Howard,QB,PIT,305.05,2,,,333.1,,,,277.0
341,Jawhar Jordan,RB,HOU,306.0,2,292.0,,,320.0,,,
342,Bam Knight,RB,ARI,309.0,1,,,,309.0,,,
343,Dyami Brown,WR,WAS,312.0,2,277.0,,,347.0,,,
344,Cairo Santos,K,CHI,312.15,4,191.0,143.0,628.6,,,,286.0
345,Tai Felton,WR,MIN,312.95,2,,,,386.0,,239.9,
346,Noah Gray,TE,KC,313.5,2,,,323.0,304.0,,,
347,DeMario Douglas,WR,NE,313.95,2,,,327.9,300.0,,,
348,Michael Carter,RB,TEN,314.0,1,,,,314.0,,,
349,Quinn Ewers,QB,MIA,316.0,2,,,336.0,,,,296.0
350,Tim Patrick,WR,NYJ,318.25,2,,,,397.0,,239.5,
351,Marcus Mariota,QB,WAS,319.17,3,,,325.5,365.0,,,267.0
352,Xavier Hutchinson,WR,HOU,321.0,1,,,,321.0,,,
353,Raheim Sanders,RB,CLE,322.0,1,,,,322.0,,,
354,Noah Fant,TE,NO,323.0,1,,,,323.0,,,
355,Jameis Winston,QB,NYG,323.77,4,,,292.8,488.0,,234.3,280.0
356,Jaylin Lane,WR,WAS,328.0,1,,,,328.0,,,
357,Trey Smack,K,GB,332.1,3,296.0,179.0,521.3,,,,
358,Jake Elliott,K,PHI,332.38,4,297.0,152.0,582.5,,,,298.0
359,Jordan Whittington,WR,LAR,337.0,1,,,,337.0,,,
360,Mike Nugent,K,,338.0,1,,,338.0,,,,
361,Davis Cheek,QB,,339.0,1,,,339.0,,,,
362,Devontez Walker,WR,BAL,339.0,1,,,,339.0,,,
363,Clayton Tune,QB,,340.0,1,,,340.0,,,,
364,Riley Leonard,QB,IND,340.07,3,,,335.2,413.0,,,272.0
365,Ben Sinnott,TE,WAS,341.0,1,,,,341.0,,,
366,Randy Bullock,K,,341.0,1,,,341.0,,,,
367,Blake Watson,RB,,342.0,1,,,342.0,,,,
368,John Bates,TE,WAS,342.0,1,,,,342.0,,,
369,Greg Zuerlein,K,,343.0,1,,,343.0,,,,
370,DaeSean Hamilton,WR,,344.0,1,,,344.0,,,,
371,Jam Miller,RB,NE,344.0,1,,,,344.0,,,
372,Anders Carlson,K,,345.0,1,,,345.0,,,,
373,Austin Ekeler,RB,,345.0,1,,,,345.0,,,
374,Travell Harris,WR,,346.0,1,,,346.0,,,,
375,Jonathan Garibay,K,,347.0,1,,,347.0,,,,
376,Brenden Rice,WR,,348.0,1,,,348.0,,,,
377,Deion Burks,WR,IND,348.0,1,,,,348.0,,,
378,Graham Gano,K,,349.0,1,,,349.0,,,,
379,Rodrigo Blankenship,K,,350.7,1,,,350.7,,,,
380,Ashton Dulin,WR,IND,351.0,1,,,,351.0,,,
381,Stephen Hauschka,K,,351.0,1,,,351.0,,,,
382,Alex Hale,K,,352.0,1,,,352.0,,,,
383,Sione Vaki,RB,DET,352.0,1,,,,352.0,,,
384,Christopher Dunn,K,,353.0,1,,,353.0,,,,
385,Dayton Wade,WR,BAL,354.0,1,,,354.0,,,,
386,Jeremy McNichols,RB,WAS,355.0,1,,,,355.0,,,
387,Lamar Jordan,QB,,355.0,1,,,355.0,,,,
388,Michael Trigg,TE,DAL,355.93,3,,,334.8,440.0,,,293.0
389,Austin Hooper,TE,ATL,356.0,1,,,,356.0,,,
390,Golden Tate,WR,,356.0,1,,,356.0,,,,
391,Dameon Pierce,RB,PHI,357.0,1,,,,357.0,,,
392,Matthew Trickett,K,,357.0,1,,,357.0,,,,
393,DJ Giddens,RB,IND,357.9,4,264.0,,691.4,243.0,,233.2,
394,Dane Key,WR,DEN,358.0,1,,,358.0,,,,
395,Malik Davis,RB,DAL,358.5,4,278.0,,663.6,253.0,,239.4,
396,Kai Forbath,K,,359.0,1,,,359.0,,,,
397,Terrell Jennings,RB,NE,359.0,1,,,,359.0,,,
398,Terion Stewart,RB,KC,359.5,1,,,359.5,,,,
399,Camren McDonald,TE,,361.0,1,,,361.0,,,,
400,Jalen Tolbert,WR,MIA,361.82,4,242.0,,683.2,284.0,,238.1,
401,Xavier Guillory,WR,BAL,362.0,1,,,362.0,,,,
402,Roschon Johnson,RB,CHI,363.0,1,,,,363.0,,,
403,Hunter Luepke,RB,DAL,364.0,1,,,,364.0,,,
404,Odell Beckham Jr.,WR,NYG,364.5,2,,,308.0,421.0,,,
405,Cody Fajardo,QB,,365.0,1,,,365.0,,,,
406,Shea Patterson,QB,,366.0,1,,,366.0,,,,
407,Mark Gronowski,QB,MIA,367.0,1,,,367.0,,,,
408,Mitch Tinsley,WR,CIN,367.0,1,,,,367.0,,,
409,Xazavian Valladay,RB,,368.0,1,,,368.0,,,,
410,Matt Corral,QB,,369.0,1,,,369.0,,,,
411,Cleveland Browns,DST,CLE,369.05,2,176.0,,562.1,,,,
412,Tampa Bay Buccaneers,DST,TB,369.67,3,236.0,,578.0,,,,295.0
413,Brandon Williams,TE,,370.0,1,,,370.0,,,,
414,Mike White,QB,,371.0,1,,,371.0,,,,
415,Nick Folk,K,ATL,371.47,3,270.0,159.0,685.4,,,,
416,Uzoma Nwachukwu,WR,,372.0,1,,,372.0,,,,
417,Bronson Rechsteiner,RB,,373.0,1,,,373.0,,,,
418,Treylon Burks,WR,WAS,373.95,4,281.0,,669.3,306.0,,239.5,
419,Roland Rivers,QB,,374.0,1,,,374.0,,,,
420,Ty Chandler,RB,NO,374.0,1,,,,374.0,,,
421,Jaret Patterson,RB,LAC,374.5,2,,,377.0,372.0,,,
422,Anthony Landphere,TE,,375.0,1,,,375.0,,,,
423,Damien Martinez,RB,GB,375.0,1,,,,375.0,,,
424,Tommy Myers,TE,,376.0,1,,,,376.0,,,
425,Travis Benjamin,WR,,376.0,1,,,376.0,,,,
426,Cash Jones,RB,ATL,378.0,1,,,,378.0,,,
427,Tyre Brady,WR,,378.5,1,,,378.5,,,,
428,Elijah Higgins,TE,ARI,379.0,1,,,,379.0,,,
429,Derek Wright,WR,,379.8,1,,,379.8,,,,
430,Chase Daniel,QB,,380.0,1,,,380.0,,,,
431,Charlie Smyth,K,NO,381.1,2,,163.0,599.2,,,,
432,Corey Sutton,WR,,382.9,1,,,382.9,,,,
433,Aeneas Dennis,QB,,383.0,1,,,383.0,,,,
434,Mo Alie-Cox,TE,IND,383.0,1,,,,383.0,,,
435,Jason Witten,TE,,383.2,1,,,383.2,,,,
436,Matt Prater,K,,385.8,1,,,385.8,,,,
437,Brady Cook,QB,NYJ,386.5,1,,,386.5,,,,
438,Squirrel White,WR,,387.0,1,,,387.0,,,,
439,Scotty Miller,WR,CHI,387.35,2,,,397.7,377.0,,,
440,Zavier Scott,RB,MIN,389.0,1,,,,389.0,,,
441,AJ. Ouellette,RB,,389.1,1,,,389.1,,,,
442,Isaiah Bond,WR,CLE,389.63,3,,,659.9,269.0,,240.0,
443,Josh Oliver,TE,MIN,390.0,1,,,,390.0,,,
444,Britain Covey,WR,PHI,390.3,1,,,390.3,,,,
445,Gabe Nabers,RB,,391.0,1,,,391.0,,,,
446,Ray-Ray McCloud,WR,CHI,391.5,1,,,391.5,,,,
447,James Proche,WR,,393.0,1,,,393.0,,,,
448,Tanner Koziol,TE,JAX,394.0,1,,,,394.0,,,
449,Stephen Gostkowski,K,,394.2,1,,,394.2,,,,
450,Emmanuel Henderson,WR,SEA,395.3,1,,,395.3,,,,
451,Kalil Pimpleton,WR,,396.0,1,,,396.0,,,,
452,Tyler Lockett,WR,LV,396.0,1,,,,396.0,,,
453,Indianapolis Colts,DST,IND,397.67,3,268.0,,643.0,,,,282.0
454,Hollywood Brown,WR,PHI,397.87,3,,,699.0,255.0,,239.6,
455,Jakobie Keeney-James,WR,PIT,398.0,1,,,,398.0,,,
456,Jimmy Kibble,WR,NE,398.3,1,,,398.3,,,,
457,Greg Bell,RB,,399.0,1,,,399.0,,,,
458,AJ. Richardson,WR,,399.8,1,,,399.8,,,,
459,Antonio Gibson,RB,,400.0,1,,,,400.0,,,
460,Marquez Valdes-Scantling,WR,DAL,401.0,1,,,,401.0,,,
461,Noah Brown,WR,LV,401.0,1,,,401.0,,,,
462,Jahdae Walker,WR,CHI,402.0,1,,,,402.0,,,
463,Paul Richardson,WR,,402.0,1,,,402.0,,,,
464,Kendrick Bourne,WR,ARI,402.43,3,,,657.9,310.0,,239.4,
465,Miles Sanders,RB,,403.0,1,,,,403.0,,,
466,Jack Coan,QB,,403.8,1,,,403.8,,,,
467,Kevin Austin Jr.,WR,NO,404.0,1,,,,404.0,,,
468,Joey Slye,K,TEN,404.55,2,,178.0,631.1,,,,
469,Chris Moore,WR,BAL,405.8,1,,,405.8,,,,
470,Matt Gay,K,LV,406.5,2,,169.0,644.0,,,,
471,Xavier Loyd,WR,KC,406.6,1,,,406.6,,,,
472,Jordan Waters,RB,LAR,407.0,1,,,,407.0,,,
473,Tyler Badie,RB,DEN,407.0,2,287.0,,,527.0,,,
474,Chris Naggar,K,,407.1,1,,,407.1,,,,
475,Trace McSorley,QB,,407.8,1,,,407.8,,,,
476,Robert Henry Jr.,RB,WAS,407.9,2,,,422.8,393.0,,,
477,Luke Schoonmaker,TE,DAL,408.0,1,,,,408.0,,,
478,Andre Szmyt,K,CLE,408.65,2,,190.0,627.3,,,,
479,Travon McMillian,RB,,409.0,1,,,409.0,,,,
480,Elijah Tau-Tolliver,RB,BAL,410.0,1,,,,410.0,,,
481,Justin Tucker,K,,410.3,1,,,410.3,,,,
482,Nate Boerkircher,TE,JAX,411.0,1,,,,411.0,,,
483,Joshua Palmer,WR,BUF,411.17,3,,,688.6,305.0,,239.9,
484,Josh Pederson,TE,,411.8,1,,,411.8,,,,
485,Devin Singletary,RB,NYG,411.9,3,286.0,,687.7,262.0,,,
486,Erick All Jr.,TE,CIN,411.93,3,,,685.6,313.0,,237.2,
487,Fred Brown,WR,,412.0,1,,,412.0,,,,
488,Sterling Shepard,WR,,412.0,1,,,,412.0,,,
489,Chad Ryland,K,ARI,412.3,2,,187.0,637.6,,,,
490,Blake Grupe,K,IND,412.45,2,,155.0,669.9,,,,
491,Camden Brown,WR,DAL,413.6,1,,,413.6,,,,
492,Xavier Smith,WR,LAR,414.0,1,,,,414.0,,,
493,Tahj Brooks,RB,CIN,414.17,3,288.0,,683.5,271.0,,,
494,Jarvis Landry,WR,,414.5,1,,,414.5,,,,
495,Raheem Mostert,RB,LV,415.0,1,,,,415.0,,,
496,Bryce Lance,WR,NO,415.4,3,,,695.7,311.0,,239.5,
497,Hassan Haskins,RB,NE,415.5,1,,,415.5,,,,
498,Will Shipley,RB,PHI,415.67,3,285.0,,676.0,286.0,,,
499,Cole Kelley,QB,,415.8,1,,,415.8,,,,
500,Sam Roush,TE,CHI,417.0,1,,,,417.0,,,
501,Parker White,K,,417.2,1,,,417.2,,,,
502,Tutu Atwell,WR,MIA,417.5,3,,,689.6,324.0,,238.9,
503,Ryan Fitzgerald,K,CAR,417.7,2,,168.0,667.4,,,,
504,Savion Williams,WR,GB,417.87,3,266.0,,653.6,334.0,,,
505,Zay Jones,WR,,418.0,1,,,,418.0,,,
506,Tony Brooks-James,RB,,418.5,1,,,418.5,,,,
507,Trevor Etienne,RB,CAR,418.9,3,289.0,,693.7,274.0,,,
508,Graig Cooper,RB,,419.0,1,,,,419.0,,,
509,Spencer Sanders,QB,,419.5,1,,,419.5,,,,
510,AJ. Green,WR,,420.8,1,,,420.8,,,,
511,Cody Schrader,RB,DEN,421.0,1,,,421.0,,,,
512,Jason Sanders,K,NYJ,421.25,2,,160.0,682.5,,,,
513,Drew Sample,TE,CIN,422.0,1,,,,422.0,,,
514,Chris Brazzell II,WR,CAR,422.2,3,,,700.6,279.0,,,287.0
515,Cincinnati Bengals,DST,CIN,422.25,2,294.0,,550.5,,,,
516,Jake Moody,K,WAS,422.55,2,,161.0,684.1,,,,
517,Jalen Simmons,RB,,423.0,1,,,423.0,,,,
518,Phil Mafah,RB,DAL,423.33,3,,,694.1,336.0,,239.9,
519,Jalen McCleskey,WR,,424.0,1,,,424.0,,,,
520,Mikey Daniel,RB,,425.5,1,,,425.5,,,,
521,Elijah Mitchell,RB,PHI,426.0,1,,,,426.0,,,
522,Taulia Tagovailoa,QB,,426.5,1,,,426.5,,,,
523,DJ. Montgomery,WR,IND,427.0,1,,,427.0,,,,
524,Salvon Ahmed,RB,CHI,427.0,1,,,,427.0,,,
525,Malik Benson,WR,LV,427.2,3,,,668.9,373.0,,239.7,
526,Ian Book,QB,,428.2,1,,,428.2,,,,
527,Greg Dortch,WR,DET,428.4,3,,,699.3,346.0,,239.9,
528,Alec Ingold,RB,LAC,429.0,1,,,,429.0,,,
529,Marshawn Lynch,RB,,429.0,1,,,429.0,,,,
530,Donovan Edwards,RB,MIA,429.5,2,,,443.0,416.0,,,
531,Nathan Carter,RB,ATL,430.0,2,,,388.0,472.0,,,
532,Josh Imatorbhebhe,WR,,430.1,1,,,430.1,,,,
533,Tanner Brown,K,NO,431.5,1,,,431.5,,,,
534,Peyton Hendershot,TE,,431.8,1,,,431.8,,,,
535,Michael Woods II,WR,DEN,432.0,1,,,,432.0,,,
536,Jack Endries,TE,CIN,433.0,1,,,,433.0,,,
537,Tre' McKitty,TE,WAS,433.0,1,,,433.0,,,,
538,Jackson Hawes,TE,BUF,434.0,1,,,,434.0,,,
539,Brandon McManus,K,GB,434.8,1,,,434.8,,,,
540,Stephon Robinson,WR,,435.0,1,,,435.0,,,,
541,Reggie Gilliam,RB,NE,435.15,2,,,442.3,428.0,,,
542,Geor'Quarius Spivey,TE,,436.5,1,,,436.5,,,,
543,Kendric Pryor,WR,CIN,437.0,1,,,,437.0,,,
544,Adam Vinatieri,K,,437.4,1,,,437.4,,,,
545,Jake Haener,QB,NYG,438.0,1,,,438.0,,,,
546,Joe Milton III,QB,DAL,438.33,3,,,688.3,387.0,,239.7,
547,Stephen Carlson,TE,CHI,439.0,1,,,439.0,,,,
548,Taylor Heinicke,QB,,439.5,1,,,439.5,,,,
549,Dez Bryant,WR,,441.9,1,,,441.9,,,,
550,Dohnte Meyers,WR,CIN,442.0,2,,,448.0,436.0,,,
551,Durham Smythe,TE,BAL,442.0,1,,,,442.0,,,
552,Dean Connors,RB,LAR,442.65,2,,,404.3,481.0,,,
553,Brandin Cooks,WR,,443.0,1,,,,443.0,,,
554,Thomas Fidone II,TE,NYG,444.0,1,,,,444.0,,,
555,Jake Funk,RB,,444.5,1,,,444.5,,,,
556,KeAndre Lambert-Smith,WR,LAC,445.0,1,,,,445.0,,,
557,Matt Moore,QB,,445.5,1,,,445.5,,,,
558,Jacardia Wright,RB,SEA,446.0,1,,,,446.0,,,
559,Blake Bortles,QB,NO,446.3,1,,,446.3,,,,
560,Mason Kinsey,WR,TEN,447.0,1,,,447.0,,,,
561,Ameer Abdullah,RB,JAX,449.0,1,,,,449.0,,,
562,Ricky Person,RB,,449.3,1,,,449.3,,,,
563,Larry Fitzgerald,WR,,450.4,1,,,450.4,,,,
564,AJ. Rose,RB,,451.0,1,,,451.0,,,,
565,Sincere McCormick,RB,SF,451.0,1,,,,451.0,,,
566,Alex Quevedo,K,,452.0,1,,,452.0,,,,
567,Atlanta Falcons,DST,ATL,452.0,2,,,614.0,,,,290.0
568,Cody Parkey,K,,453.0,1,,,453.0,,,,
569,Russell Gage Jr.,WR,,453.0,1,,,,453.0,,,
570,Dylan Laube,RB,LV,453.45,2,,,535.9,371.0,,,
571,Todd Gurley,RB,,454.5,1,,,454.5,,,,
572,Tony Poljan,TE,,455.5,1,,,455.5,,,,
573,Kylin Hill,RB,,456.0,1,,,456.0,,,,
574,Max Bredeson,RB,MIN,456.0,1,,,,456.0,,,
575,Cam Worthy,WR,,457.0,1,,,457.0,,,,
576,Tyler Conklin,TE,DET,457.0,1,,,,457.0,,,
577,Moliki Matavao,TE,NO,459.0,1,,,,459.0,,,
578,Sam Hartman,QB,WAS,459.5,1,,,459.5,,,,
579,Tyson Bagent,QB,CHI,459.8,2,,,679.9,,,239.7,
580,Tanner Hudson,TE,CIN,460.0,1,,,,460.0,,,
581,Adam Humphries,WR,,460.3,1,,,460.3,,,,
582,Jabari Small,RB,DET,461.0,1,,,,461.0,,,
583,DeMeer Blankumsee,WR,,461.8,1,,,461.8,,,,
584,Eli Jenkins,QB,,462.0,1,,,462.0,,,,
585,Josh Reynolds,WR,,462.0,1,,,,462.0,,,
586,Jeremy Ruckert,TE,NYJ,463.0,1,,,,463.0,,,
587,Simi Fehoko,WR,ARI,463.5,1,,,463.5,,,,
588,Tristan Vizcaino,K,,463.5,1,,,463.5,,,,
589,Kendrick Law,WR,DET,464.0,1,,,,464.0,,,
590,Myles Montgomery,RB,NE,464.25,2,,,523.5,405.0,,,
591,Van Jefferson,WR,WAS,465.0,1,,,,465.0,,,
592,Ricky White,WR,SEA,465.8,1,,,465.8,,,,
593,Jaheim Bell,TE,PIT,466.0,1,,,,466.0,,,
594,Carolina Panthers,DST,CAR,466.45,2,,,635.9,,,,297.0
595,Noah Whittington,RB,HOU,466.5,2,,,485.0,448.0,,,
596,Taylen Green,QB,CLE,466.65,2,,,694.8,,,238.5,
597,Riley Neal,QB,,466.8,1,,,466.8,,,,
598,Ryan Becker,TE,,467.0,1,,,467.0,,,,
599,Mason Tipton,WR,NO,468.0,1,,,,468.0,,,
600,Gary Jennings,WR,,468.5,1,,,468.5,,,,
601,Gardner Minshew II,QB,ARI,468.7,2,,,698.0,,,239.4,
602,Davis Koppenhaver,TE,,469.5,1,,,469.5,,,,
603,Tim Tebow,TE,,470.7,1,,,470.7,,,,
604,Teagan Quitoriano,TE,ARI,471.2,1,,,471.2,,,,
605,Mack Hollins,WR,NE,471.6,2,,,685.2,258.0,,,
606,Mike Rigerman,TE,,472.0,1,,,472.0,,,,
607,Tyler Higbee,TE,LAR,472.55,2,,,649.1,296.0,,,
608,Coleman Owen,WR,IND,473.0,1,,,,473.0,,,
609,Tim Cook,RB,,473.0,1,,,473.0,,,,
610,Derek Carr,QB,,474.0,1,,,474.0,,,,
611,Jeshaun Jones,WR,MIN,474.0,1,,,,474.0,,,
612,Evan Hull,RB,ARI,475.0,1,,,,475.0,,,
613,Athan Kaliakmanis,QB,WAS,475.3,1,,,475.3,,,,
614,Frank Gore Jr.,RB,BUF,475.6,2,,,531.2,420.0,,,
615,Cade Stover,TE,HOU,476.0,1,,,,476.0,,,
616,Skyler Howard,QB,SEA,476.0,1,,,476.0,,,,
617,Alexander Mattison,RB,,477.0,1,,,,477.0,,,
618,AT. Perry,WR,,477.3,1,,,477.3,,,,
619,Tez Johnson,WR,TB,477.3,2,,,665.6,289.0,,,
620,Quez Watkins,WR,PHI,478.0,1,,,,478.0,,,
621,Jaleel McLaughlin,RB,DEN,478.05,2,,,681.1,275.0,,,
622,Isaac Guerendo,RB,SF,478.15,2,,,678.3,278.0,,,
623,Jacob De Jesus,WR,KC,478.3,1,,,478.3,,,,
624,Kalel Mullings,RB,TEN,479.0,1,,,,479.0,,,
625,Bub Means,WR,NO,479.5,2,,,492.0,467.0,,,
626,Lenny Krieg,K,,480.0,1,,,480.0,,,,
627,Bryce Love,RB,,481.0,1,,,481.0,,,,
628,Ronnie Bell,WR,NO,482.0,1,,,,482.0,,,
629,Jacob Clark,QB,LV,482.5,1,,,482.5,,,,
630,Dontae McMillan,RB,BAL,483.0,1,,,,483.0,,,
631,Dalvin Cook,RB,,483.5,1,,,483.5,,,,
632,Ulysses Bentley,RB,IND,484.0,1,,,484.0,,,,
633,Will Dissly,TE,,484.0,1,,,,484.0,,,
634,Tahj Washington,WR,MIA,486.0,1,,,,486.0,,,
635,Jimmy Bell,TE,,486.5,1,,,486.5,,,,
636,Tom Kennedy,WR,DET,487.5,1,,,487.5,,,,
637,Wesley Grimes,WR,SF,487.5,1,,,487.5,,,,
638,Jalen Royals,WR,KC,488.45,2,,,683.9,293.0,,,
639,David Sills V,WR,TB,489.0,1,,,,489.0,,,
640,Joey Aguilar,QB,JAX,489.0,1,,,489.0,,,,
641,Brock Wright,TE,DET,490.0,1,,,,490.0,,,
642,Michael Thomas,WR,,490.5,1,,,490.5,,,,
643,Diontae Johnson,WR,,491.0,2,,,479.0,503.0,,,
644,Josh Gordon,WR,,491.5,1,,,491.5,,,,
645,Luke McCaffrey,WR,WAS,492.15,2,,,697.3,287.0,,,
646,Ronnie Rivers,RB,LAR,492.6,2,,,605.2,380.0,,,
647,Ezekiel Elliott,RB,,493.0,1,,,493.0,,,,
648,Miles Davis,RB,CAR,493.0,1,,,,493.0,,,
649,Cedrick Wilson Jr.,WR,DET,494.0,1,,,,494.0,,,
650,Floyd Allen,WR,,494.0,1,,,494.0,,,,
651,Jared Wiley,TE,KC,494.75,2,,,551.5,438.0,,,
652,Pierre Strong Jr.,RB,GB,495.0,1,,,,495.0,,,
653,Brock Rechsteiner,WR,NO,495.3,1,,,495.3,,,,
654,Joshua Pitsenberger,RB,HOU,495.65,2,,,458.3,533.0,,,
655,Aidan O'Connell,QB,LV,496.0,1,,,496.0,,,,
656,Michael Briscoe,WR,MIN,497.0,1,,,,497.0,,,
657,Lil'Jordan Humphrey,WR,DEN,498.0,1,,,,498.0,,,
658,Calvin Austin III,WR,NYG,498.15,2,,,699.3,297.0,,,
659,Samori Toure,WR,PHI,498.3,1,,,498.3,,,,
660,Olamide Zaccheaus,WR,ATL,498.4,2,,,698.8,298.0,,,
661,Mecole Hardman Jr.,WR,BUF,498.5,2,,,572.0,425.0,,,
662,Jared Wayne,WR,HOU,499.0,1,,,,499.0,,,
663,Eli Heidenreich,RB,PIT,499.2,2,,,691.4,307.0,,,
664,Lenard Tillery,RB,,499.3,1,,,499.3,,,,
665,Michael Bandy,WR,DEN,500.0,1,,,,500.0,,,
666,Kurtis Rourke,QB,SF,500.5,1,,,500.5,,,,
667,Maurice Alexander,WR,CHI,501.0,1,,,,501.0,,,
668,Mike Glennon,QB,,501.5,1,,,501.5,,,,
669,Ian Thomas,TE,LV,502.0,1,,,,502.0,,,
670,Nick Foles,QB,,502.8,1,,,502.8,,,,
671,Warren Jackson,WR,,503.2,1,,,503.2,,,,
672,Josh Johnson,WR,,503.3,1,,,503.3,,,,
673,John Metchie III,WR,CAR,504.2,2,,,691.4,317.0,,,
674,EJ Smith,RB,KC,504.25,2,,,497.5,511.0,,,
675,Kyle Juszczyk,RB,SF,504.3,2,,,679.6,329.0,,,
676,Tommy Tremble,TE,CAR,504.8,2,,,671.6,338.0,,,
677,Lew Nichols III,RB,PIT,505.0,1,,,,505.0,,,
678,Nick Chubb,RB,HOU,505.55,2,,,686.1,325.0,,,
679,Robbie Gould,K,,506.0,1,,,506.0,,,,
680,Tyler Scott,WR,LAR,506.0,1,,,,506.0,,,
681,Will Mallory,TE,IND,507.0,1,,,,507.0,,,
682,Tyler Goodson,RB,ATL,507.1,2,,,626.2,388.0,,,
683,James Robinson,RB,,507.5,1,,,507.5,,,,
684,Chip Trayanum,RB,NYJ,508.0,1,,,,508.0,,,
685,J'Mari Taylor,RB,JAX,508.35,2,,,698.7,318.0,,,
686,Changa Hodge,WR,,508.5,1,,,508.5,,,,
687,Michael Wortham,WR,JAX,509.0,1,,,,509.0,,,
688,LeSean McCoy,RB,,509.3,1,,,509.3,,,,
689,Dont'e Thornton Jr.,WR,LV,509.55,2,,,700.1,319.0,,,
690,Adam Choice,RB,,510.0,1,,,510.0,,,,
691,Velus Jones Jr.,WR,SEA,510.0,1,,,,510.0,,,
692,Ben Skowronek,WR,PIT,511.35,2,,,553.7,469.0,,,
693,Shane Leatherbury,WR,,511.5,1,,,511.5,,,,
694,Luke Musgrave,TE,GB,511.6,2,,,692.2,331.0,,,
695,Kalif Raymond,WR,CHI,511.85,2,,,697.7,326.0,,,
696,Adam Prentice,RB,DEN,512.0,2,,,554.0,470.0,,,
697,Jimmy Garoppolo,QB,LAR,512.0,1,,,512.0,,,,
698,Travis Homer,RB,PIT,512.0,1,,,,512.0,,,
699,Zach Ertz,TE,WAS,512.7,2,,,664.4,361.0,,,
700,Kevin Coleman Jr.,WR,MIA,512.9,2,,,692.8,333.0,,,
701,Alex Smith,QB,,513.0,1,,,513.0,,,,
702,Zamir White,RB,LV,513.0,1,,,,513.0,,,
