Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF,Underdog,RTSports,DraftSharks
177,Ka'imi Fairbairn,K,HOU,176.67,7,185.0,120.1,173.0,153.0,209.0,,178.0,162.0
178,Seattle Seahawks,DST,SEA,179.33,7,172.0,106.2,128.0,125.0,195.0,,171.0,128.0
179,Jerry Jeudy,WR,CLE,180.21,7,131.0,197.0,191.0,202.0,,179.5,164.0,197.0
180,Cam Little,K,JAX,181.0,7,188.0,128.4,174.0,169.0,206.0,,180.0,169.0
181,Terrance Ferguson,TE,LAR,181.07,8,159.0,126.6,167.0,183.0,217.0,180.0,242.0,174.0
182,Pat Freiermuth,TE,PIT,183.37,6,206.0,125.3,,198.0,170.0,193.9,207.0,
183,Bryce Young,QB,CAR,184.74,8,219.0,124.1,199.0,164.0,253.0,160.8,167.0,191.0
184,James Conner,RB,ARI,185.59,8,195.0,126.9,165.0,177.0,221.0,214.8,215.0,170.0
185,Baltimore Ravens,DST,BAL,187.5,7,174.0,136.6,145.0,191.0,199.0,,255.0,161.0
186,Tyreek Hill,WR,MIA,188.0,6,,132.6,175.0,190.0,,215.4,233.0,182.0
187,Fernando Mendoza,QB,LV,188.2,8,220.0,122.1,195.0,167.0,243.0,186.5,186.0,186.0
188,Adonai Mitchell,WR,NYJ,188.56,7,147.0,153.0,200.0,226.0,,171.9,217.0,205.0
189,Harrison Mevis,K,LAR,189.0,7,184.0,133.3,161.0,188.0,204.0,,229.0,168.0
190,Greg Dulcich,TE,MIA,189.78,6,259.0,133.6,,220.0,146.0,180.1,200.0,
191,Isaac TeSlaa,WR,DET,189.94,8,210.0,125.5,220.0,187.0,176.0,170.0,225.0,206.0
192,Braelon Allen,RB,NYJ,190.93,7,167.0,198.0,180.0,207.0,,213.5,188.0,183.0
193,Emmett Johnson,RB,KC,192.14,8,248.0,130.1,169.0,179.0,248.0,201.0,191.0,171.0
194,Antonio Williams,WR,WAS,193.2,7,152.0,215.0,186.0,215.0,,185.4,211.0,188.0
195,Minnesota Vikings,DST,MIN,193.2,6,,131.0,171.0,184.0,233.0,,206.0,172.0
196,Tre Tucker,WR,LV,193.47,7,153.0,178.0,225.0,229.0,,157.3,196.0,216.0
197,Andres Borregales,K,NE,193.67,6,,145.0,170.0,195.0,241.0,,238.0,173.0
198,Eddy Pineiro,K,SF,193.67,7,186.0,143.7,187.0,200.0,208.0,,241.0,190.0
199,Tyler Loop,K,BAL,194.49,7,190.0,141.4,203.0,199.0,203.0,,226.0,199.0
200,Nicholas Singleton,RB,TEN,197.82,8,221.0,132.3,196.0,186.0,260.0,208.3,192.0,187.0
201,Pittsburgh Steelers,DST,PIT,200.83,7,171.0,134.4,206.0,197.0,201.0,,228.0,202.0
202,Gunnar Helm,TE,TEN,200.89,7,215.0,220.0,183.0,212.0,,183.2,197.0,196.0
203,Ray Davis,RB,BUF,201.89,7,154.0,168.0,219.0,234.0,,189.2,227.0,222.0
204,Calvin Ridley,WR,TEN,202.17,7,144.0,221.0,249.0,222.0,,189.2,155.0,235.0
205,David Njoku,TE,LAC,204.09,8,291.0,125.6,198.0,165.0,285.0,212.1,163.0,193.0
206,Tre' Harris,WR,LAC,204.76,7,203.0,191.0,213.0,232.0,,164.3,218.0,212.0
207,Jake Bates,K,DET,205.0,7,189.0,138.6,201.0,194.0,235.0,,213.0,198.0
208,Kayshon Boutte,WR,NE,205.66,7,230.0,237.0,202.0,206.0,,194.6,166.0,204.0
209,Aaron Rodgers,QB,PIT,207.74,7,268.0,117.5,,189.0,264.0,176.7,177.0,262.0
210,MarShawn Lloyd,RB,GB,207.96,5,242.0,172.0,,255.0,,181.8,189.0,
211,Los Angeles Chargers,DST,LAC,209.5,7,180.0,138.5,218.0,205.0,212.0,,232.0,210.0
212,Jacksonville Jaguars,DST,JAX,209.67,7,254.0,136.9,194.0,192.0,216.0,,208.0,194.0
213,Kaytron Allen,RB,WAS,210.73,7,214.0,187.0,208.0,230.0,,208.1,219.0,209.0
214,Malik Washington,WR,MIA,211.5,5,224.0,219.0,,251.0,,178.5,185.0,
215,Cairo Santos,K,CHI,212.07,7,191.0,144.5,215.0,225.0,210.0,,273.0,226.0
216,Nathaniel Dell,WR,HOU,212.87,7,165.0,274.0,228.0,228.0,,183.1,193.0,219.0
217,Detroit Lions,DST,DET,213.0,7,178.0,137.7,179.0,211.0,234.0,,284.0,192.0
218,Zachariah Branch,WR,ATL,214.37,7,197.0,226.0,224.0,235.0,,177.6,224.0,217.0
219,Justice Hill,RB,BAL,214.94,5,196.0,239.0,,247.0,,213.7,179.0,
220,Zavion Thomas,WR,CHI,215.6,1,,,,,,215.6,,
221,Roman Wilson,WR,PIT,215.8,1,,,,,,215.8,,
222,Tez Johnson,WR,TB,215.8,1,,,,,,215.8,,
223,Tutu Atwell,WR,MIA,215.8,1,,,,,,215.8,,
224,Barion Brown,WR,NO,215.9,1,,,,,,215.9,,
225,Bryce Lance,WR,NO,215.9,1,,,,,,215.9,,
226,Elijah Arroyo,TE,SEA,215.9,1,,,,,,215.9,,
227,Ja'Tavion Sanders,TE,CAR,215.9,1,,,,,,215.9,,
228,John Metchie III,WR,CAR,215.9,1,,,,,,215.9,,
229,Joshua Palmer,WR,BUF,215.9,1,,,,,,215.9,,
230,Justin Joly,TE,DEN,215.9,1,,,,,,215.9,,
231,Malik Benson,WR,LV,215.9,1,,,,,,215.9,,
232,Noah Gray,TE,KC,215.9,1,,,,,,215.9,,
233,Odell Beckham Jr.,WR,NYG,215.9,1,,,,,,215.9,,
234,A.T. Perry,WR,,216.0,1,,,,,,216.0,,
235,AJ Dillon,RB,CAR,216.0,1,,,,,,216.0,,
236,Anthony Richardson,QB,IND,216.0,1,,,,,,216.0,,
237,Anthony Smith,WR,DAL,216.0,1,,,,,,216.0,,
238,Austin Hooper,TE,ATL,216.0,1,,,,,,216.0,,
239,Bam Knight,RB,ARI,216.0,1,,,,,,216.0,,
240,Ben Sims,TE,MIA,216.0,1,,,,,,216.0,,
241,Ben Sinnott,TE,WAS,216.0,1,,,,,,216.0,,
242,Brandon Smith,WR,PIT,216.0,1,,,,,,216.0,,
243,CJ Daniels,WR,LAR,216.0,1,,,,,,216.0,,
244,Cade Klubnik,QB,NYJ,216.0,1,,,,,,216.0,,
245,Cedric Tillman,WR,CLE,216.0,1,,,,,,216.0,,
246,Chase Claypool,WR,,216.0,1,,,,,,216.0,,
247,Chase Curtis,TE,NYJ,216.0,1,,,,,,216.0,,
248,Colbie Young,WR,CIN,216.0,1,,,,,,216.0,,
249,Dameon Pierce,RB,PHI,216.0,1,,,,,,216.0,,
250,Damien Martinez,RB,GB,216.0,1,,,,,,216.0,,
251,Daniel Bellinger,TE,TEN,216.0,1,,,,,,216.0,,
252,Darius Cooper,WR,PHI,216.0,1,,,,,,216.0,,
253,Davis Mills,QB,HOU,216.0,1,,,,,,216.0,,
254,DeAndre Hopkins,WR,BAL,216.0,1,,,,,,216.0,,
255,Deion Burks,WR,IND,216.0,1,,,,,,216.0,,
256,Demarcus Robinson,WR,SF,216.0,1,,,,,,216.0,,
257,Dont'e Thornton,WR,LV,216.0,1,,,,,,216.0,,
258,Drew Allar,QB,PIT,216.0,1,,,,,,216.0,,
259,Drew Lock,QB,SEA,216.0,1,,,,,,216.0,,
260,Eli Heidenreich,RB,PIT,216.0,1,,,,,,216.0,,
261,Elijah Higgins,TE,ARI,216.0,1,,,,,,216.0,,
262,Elijah Moore,WR,PHI,216.0,1,,,,,,216.0,,
263,Gardner Minshew II,QB,ARI,216.0,1,,,,,,216.0,,
264,Greg Dortch,WR,DET,216.0,1,,,,,,216.0,,
265,Gunner Olszewski,WR,NYG,216.0,1,,,,,,216.0,,
266,Haynes King,QB,CAR,216.0,1,,,,,,216.0,,
267,Isaac Guerendo,RB,SF,216.0,1,,,,,,216.0,,
268,Jack Strand,QB,ATL,216.0,1,,,,,,216.0,,
269,Jackson Hawes,TE,BUF,216.0,1,,,,,,216.0,,
270,Jacob Cowing,WR,SF,216.0,1,,,,,,216.0,,
271,Jahdae Walker,WR,CHI,216.0,1,,,,,,216.0,,
272,Jake Funk,RB,,216.0,1,,,,,,216.0,,
273,Jalen Milroe,QB,SEA,216.0,1,,,,,,216.0,,
274,Jalen Royals,WR,KC,216.0,1,,,,,,216.0,,
275,Jameis Winston,QB,NYG,216.0,1,,,,,,216.0,,
276,Jamison Crowder,WR,,216.0,1,,,,,,216.0,,
277,Jared Wiley,TE,KC,216.0,1,,,,,,216.0,,
278,Jelani Woods,TE,NYJ,216.0,1,,,,,,216.0,,
279,Jeremy McNichols,RB,WAS,216.0,1,,,,,,216.0,,
280,Jimmy Horn,WR,CAR,216.0,1,,,,,,216.0,,
281,Joe Flacco,QB,CIN,216.0,1,,,,,,216.0,,
282,Joe Milton,QB,DAL,216.0,1,,,,,,216.0,,
283,Joe Royer,TE,CLE,216.0,1,,,,,,216.0,,
284,Jordan Watkins,WR,SF,216.0,1,,,,,,216.0,,
285,Jordan Whittington,WR,LAR,216.0,1,,,,,,216.0,,
286,Josh Cameron,WR,JAX,216.0,1,,,,,,216.0,,
287,Josh Cuevas,TE,BAL,216.0,1,,,,,,216.0,,
288,Josh Oliver,TE,MIN,216.0,1,,,,,,216.0,,
289,Josh Pederson,TE,,216.0,1,,,,,,216.0,,
290,JuJu Smith-Schuster,WR,NYG,216.0,1,,,,,,216.0,,
291,KeAndre Lambert-Smith,WR,LAC,216.0,1,,,,,,216.0,,
292,Khalil Herbert,RB,SF,216.0,1,,,,,,216.0,,
293,Kyle Juszczyk,RB,SF,216.0,1,,,,,,216.0,,
294,Lewis Bond,WR,HOU,216.0,1,,,,,,216.0,,
295,Luke Musgrave,TE,GB,216.0,1,,,,,,216.0,,
296,Luke Schoonmaker,TE,DAL,216.0,1,,,,,,216.0,,
297,Mac Jones,QB,SF,216.0,1,,,,,,216.0,,
298,Marcus Mariota,QB,WAS,216.0,1,,,,,,216.0,,
299,Marlin Klein,TE,HOU,216.0,1,,,,,,216.0,,
300,Matt Hibner,TE,BAL,216.0,1,,,,,,216.0,,
301,Mitch Tinsley,WR,CIN,216.0,1,,,,,,216.0,,
302,Nate Boerkircher,TE,JAX,216.0,1,,,,,,216.0,,
303,Nick Mullens,QB,JAX,216.0,1,,,,,,216.0,,
304,Nick Westbrook-Ikhine,WR,IND,216.0,1,,,,,,216.0,,
305,Olamide Zaccheaus,WR,ATL,216.0,1,,,,,,216.0,,
306,Quinn Ewers,QB,MIA,216.0,1,,,,,,216.0,,
307,Reggie Virgil,WR,ARI,216.0,1,,,,,,216.0,,
308,Riley Leonard,QB,IND,216.0,1,,,,,,216.0,,
309,Robert Tonyan,TE,PIT,216.0,1,,,,,,216.0,,
310,Roschon Johnson,RB,CHI,216.0,1,,,,,,216.0,,
311,Sam Howell,QB,DAL,216.0,1,,,,,,216.0,,
312,Sam Roush,TE,CHI,216.0,1,,,,,,216.0,,
313,Seydou Traore,TE,MIA,216.0,1,,,,,,216.0,,
314,Spencer Rattler,QB,NO,216.0,1,,,,,,216.0,,
315,Tai Felton,WR,MIN,216.0,1,,,,,,216.0,,
316,Tanner Koziol,TE,JAX,216.0,1,,,,,,216.0,,
317,Tanner McKee,QB,PHI,216.0,1,,,,,,216.0,,
318,Taylen Green,QB,CLE,216.0,1,,,,,,216.0,,
319,Theo Wease,WR,MIA,216.0,1,,,,,,216.0,,
320,Tim Patrick,WR,NYJ,216.0,1,,,,,,216.0,,
321,Tommy Tremble,TE,CAR,216.0,1,,,,,,216.0,,
322,Ty Chandler,RB,NO,216.0,1,,,,,,216.0,,
323,Tyler Huntley,QB,BAL,216.0,1,,,,,,216.0,,
324,Tyren Montgomery,WR,TEN,216.0,1,,,,,,216.0,,
325,Tyrod Taylor,QB,GB,216.0,1,,,,,,216.0,,
326,Tyson Bagent,QB,CHI,216.0,1,,,,,,216.0,,
327,Will Howard,QB,PIT,216.0,1,,,,,,216.0,,
328,Will Kacmarek,TE,MIA,216.0,1,,,,,,216.0,,
329,Xavier Hutchinson,WR,HOU,216.0,1,,,,,,216.0,,
330,Chase McLaughlin,K,TB,216.04,7,238.0,142.3,223.0,217.0,205.0,,257.0,230.0
331,Jaydon Blue,RB,DAL,216.5,7,243.0,169.0,254.0,237.0,,175.5,201.0,236.0
332,Sean Tucker,RB,TB,216.86,7,250.0,222.0,216.0,224.0,,194.0,194.0,218.0
333,Jacoby Brissett,QB,ARI,217.87,7,269.0,216.0,235.0,219.0,,194.1,168.0,224.0
334,Cade Otton,TE,TB,217.91,7,260.0,272.0,177.0,216.0,,189.4,222.0,189.0
335,Kimani Vidal,RB,LAC,219.04,7,223.0,227.0,211.0,231.0,,212.3,216.0,213.0
336,Ryan Flournoy,WR,DAL,219.39,7,204.0,171.0,253.0,259.0,,162.7,248.0,238.0
337,Kaelon Black,RB,SF,220.84,5,213.0,218.0,,262.0,,206.2,205.0,
338,Chris Boswell,K,PIT,221.33,7,237.0,139.5,210.0,213.0,211.0,,256.0,201.0
339,Harrison Butker,K,KC,222.83,7,187.0,133.4,192.0,203.0,297.0,,263.0,195.0
340,Will Reichard,K,MIN,223.0,7,192.0,138.7,212.0,221.0,236.0,,274.0,203.0
341,Green Bay Packers,DST,GB,224.0,7,236.0,137.7,226.0,210.0,215.0,,236.0,221.0
342,Demond Claiborne,RB,MIN,225.21,7,222.0,206.0,233.0,239.0,,214.5,231.0,231.0
343,Geno Smith,QB,NYJ,225.34,5,267.0,241.0,,249.0,,186.7,183.0,
344,George Holani,RB,SEA,225.46,5,244.0,213.0,,258.0,,213.3,199.0,
345,Jordan James,RB,SF,225.94,5,193.0,233.0,,269.0,,213.7,221.0,
346,Evan McPherson,K,CIN,226.59,7,256.0,143.1,239.0,233.0,207.0,,276.0,232.0
347,Austin Ekeler,RB,,230.0,3,,,,264.0,,216.0,210.0,
348,Kirk Cousins,QB,LV,230.7,4,,244.0,,260.0,,214.8,204.0,
349,Kansas City Chiefs,DST,KC,231.67,7,179.0,136.0,209.0,218.0,292.0,,285.0,207.0
350,Germie Bernard,WR,PIT,232.04,7,151.0,253.0,245.0,267.0,,196.3,271.0,241.0
351,Eli Stowers,TE,PHI,232.23,6,,283.0,205.0,236.0,,212.4,246.0,211.0
352,Theo Johnson,TE,NYG,232.34,5,,331.0,172.0,243.0,,215.7,,200.0
353,Jaylin Noel,WR,HOU,232.37,6,205.0,212.0,237.0,278.0,,215.2,,247.0
354,Darnell Mooney,WR,NYG,232.51,7,201.0,232.0,244.0,257.0,,203.6,251.0,239.0
355,Ja'Kobi Lane,WR,BAL,233.44,7,232.0,277.0,217.0,241.0,,203.1,249.0,215.0
356,Brandon Aiyuk,WR,SF,237.65,8,231.0,132.4,221.0,208.0,417.0,215.8,253.0,223.0
357,Dontayvion Wicks,WR,PHI,238.58,6,252.0,192.0,,280.0,,182.5,239.0,286.0
358,Jaylen Wright,RB,MIA,238.67,7,225.0,294.0,227.0,242.0,,215.7,240.0,227.0
359,Chicago Bears,DST,CHI,240.0,7,286.0,129.1,236.0,209.0,214.0,,267.0,228.0
360,Dyami Brown,WR,WAS,240.0,2,264.0,,,,,216.0,,
361,Xavier Legette,WR,CAR,240.37,3,208.0,298.0,,,,215.1,,
362,Malachi Fields,WR,NYG,242.1,6,,260.0,275.0,248.0,,213.6,203.0,253.0
363,Michael Penix Jr.,QB,ATL,243.22,6,,257.0,274.0,246.0,,215.3,202.0,265.0
364,Colby Parkinson,TE,LAR,244.05,6,,280.0,222.0,254.0,,210.3,264.0,234.0
365,Shedeur Sanders,QB,CLE,244.17,6,,270.0,270.0,250.0,,212.0,212.0,251.0
366,Jalen Tolbert,WR,MIA,244.34,5,227.0,275.0,,274.0,,215.7,230.0,
367,Emanuel Wilson,RB,SEA,244.41,7,266.0,256.0,230.0,252.0,,215.9,254.0,237.0
368,Tahj Brooks,RB,CIN,244.97,3,279.0,240.0,,,,215.9,,
369,Rashod Bateman,WR,BAL,245.0,7,163.0,246.0,262.0,292.0,,202.0,290.0,260.0
370,Tyquan Thornton,WR,KC,245.53,3,273.0,252.0,,,,211.6,,
371,San Francisco 49ers,DST,SF,246.0,6,297.0,128.7,241.0,204.0,,,259.0,229.0
372,Tua Tagovailoa,QB,ATL,246.11,7,296.0,242.0,280.0,244.0,,207.8,195.0,258.0
373,Cleveland Browns,DST,CLE,246.5,7,176.0,136.2,287.0,240.0,238.0,,269.0,269.0
374,JJ. McCarthy,QB,MIN,248.98,5,,,268.0,261.0,,215.9,234.0,266.0
375,Darius Slayton,WR,NYG,249.2,3,271.0,261.0,,,,215.6,,
376,Ted Hurst III,WR,TB,249.76,7,233.0,268.0,248.0,272.0,,204.3,277.0,246.0
377,Dallas Cowboys,DST,DAL,250.6,6,,129.3,231.0,196.0,362.0,,244.0,220.0
378,Ty Johnson,RB,BUF,251.14,5,245.0,316.0,,265.0,,215.7,214.0,
379,Atlanta Falcons,DST,ATL,251.25,5,,136.3,266.0,245.0,237.0,,,257.0
380,Tyler Higbee,TE,LAR,251.5,2,,287.0,,,,216.0,,
381,Darnell Washington,TE,PIT,251.55,2,,288.0,,,,215.1,,
382,Wil Lutz,K,DEN,251.6,6,,133.1,232.0,223.0,298.0,,272.0,233.0
383,Buffalo Bills,DST,BUF,251.8,6,,131.9,259.0,214.0,294.0,,250.0,242.0
384,Troy Franklin,WR,DEN,252.95,6,,264.0,234.0,271.0,,213.7,291.0,244.0
385,Cooper Kupp,WR,SEA,253.07,7,228.0,282.0,267.0,273.0,,208.5,258.0,255.0
386,Pat Bryant,WR,DEN,253.36,7,261.0,248.0,238.0,279.0,,198.5,304.0,245.0
387,KaVontae Turpin,WR,DAL,255.0,2,294.0,,,,,216.0,,
388,New York Giants,DST,NYG,255.4,6,,130.6,214.0,201.0,393.0,,261.0,208.0
389,Deshaun Watson,QB,CLE,255.48,5,270.0,299.0,,270.0,,215.4,223.0,
390,Jaylin Lane,WR,WAS,255.5,2,295.0,,,,,216.0,,
391,Will Levis,QB,TEN,255.5,2,,,,,,216.0,,295.0
392,Ollie Gordon II,RB,MIA,255.72,5,226.0,204.0,,332.0,,215.6,301.0,
393,Jack Bech,WR,LV,256.21,7,209.0,228.0,269.0,302.0,,215.5,298.0,272.0
394,Tory Horton,WR,SEA,256.44,7,262.0,258.0,255.0,276.0,,213.1,279.0,252.0
395,Phil Mafah,RB,DAL,256.5,2,,297.0,,,,216.0,,
396,Carson Beck,QB,ARI,257.43,4,,327.0,,268.0,,214.7,220.0,
397,Trey Benson,RB,ARI,257.67,6,,329.0,207.0,263.0,,216.0,306.0,225.0
398,Caleb Douglas,WR,MIA,257.8,5,229.0,279.0,,301.0,,214.0,266.0,
399,Elijah Sarratt,WR,BAL,258.1,6,263.0,267.0,258.0,294.0,,212.6,,254.0
400,Chris Bell,WR,MIA,258.29,7,211.0,266.0,260.0,296.0,,215.0,299.0,261.0
401,Keenan Allen,WR,LAC,258.63,6,,271.0,264.0,275.0,,206.8,268.0,267.0
402,Kaleb Johnson,RB,PIT,259.83,6,,321.0,229.0,266.0,,216.0,287.0,240.0
403,Jake Tonges,TE,SF,260.37,7,293.0,322.0,247.0,256.0,,214.6,247.0,243.0
404,Konata Mumpfield,WR,LAR,261.0,2,,306.0,,,,216.0,,
405,Isaiah Davis,RB,NYJ,261.36,5,247.0,209.0,,333.0,,215.8,302.0,
406,DJ Giddens,RB,IND,262.08,5,251.0,234.0,,322.0,,215.4,288.0,
407,Cyrus Allen,WR,KC,262.12,4,,278.0,,303.0,,197.5,270.0,
408,Eli Raridon,TE,NE,262.65,2,,310.0,,,,215.3,,
409,Charlie Kolar,TE,LAC,263.25,2,,312.0,,,,214.5,,
410,LeQuint Allen Jr.,RB,JAX,263.96,5,241.0,332.0,,286.0,,215.8,245.0,
411,Indianapolis Colts,DST,IND,264.4,5,255.0,262.0,252.0,289.0,,,,264.0
412,Malik Davis,RB,DAL,264.97,3,265.0,314.0,,,,215.9,,
413,Marvin Mims Jr.,WR,DEN,265.48,6,284.0,319.0,242.0,283.0,,215.9,,249.0
414,Kendre Miller,RB,NO,265.5,6,282.0,326.0,240.0,281.0,,216.0,,248.0
415,Samaje Perine,RB,CIN,266.04,5,240.0,289.0,,308.0,,215.2,278.0,
416,Treylon Burks,WR,WAS,266.3,3,272.0,311.0,,,,215.9,,
417,Jahan Dotson,WR,ATL,266.34,5,275.0,250.0,,311.0,,215.7,280.0,
418,Skyler Bell,WR,BUF,266.62,4,,255.0,,314.0,,215.5,282.0,
419,Adam Randall,RB,BAL,266.76,5,239.0,235.0,,336.0,,215.8,308.0,
420,Evan Engram,TE,DEN,267.02,5,290.0,291.0,,290.0,,212.1,252.0,
421,Brashard Smith,RB,KC,267.18,5,,342.0,243.0,285.0,,215.9,,250.0
422,Erick All Jr.,TE,CIN,267.8,2,,320.0,,,,215.6,,
423,Emari Demercado,RB,KC,267.98,5,246.0,236.0,,335.0,,215.9,307.0,
424,Andrei Iosivas,WR,CIN,269.03,3,274.0,318.0,,,,215.1,,
425,Keon Coleman,WR,BUF,269.33,7,234.0,307.0,265.0,300.0,,211.3,300.0,268.0
